0 0 0
10.00 4.379E-03 8.220E-02
11.00 4.593E-03 8.408E-02
12.00 4.797E-03 8.577E-02
13.00 4.993E-03 8.729E-02
14.00 5.181E-03 8.866E-02
15.00 5.363E-03 8.991E-02
16.00 5.539E-03 9.106E-02
17.00 5.709E-03 9.210E-02
18.00 5.875E-03 9.306E-02
20.00 6.193E-03 9.476E-02
22.50 6.568E-03 9.655E-02
25.00 6.924E-03 9.803E-02
27.50 7.262E-03 9.927E-02
30.00 7.584E-03 1.003E-01
32.50 7.894E-03 1.012E-01
35.00 8.192E-03 1.019E-01
37.50 8.480E-03 1.026E-01
40.00 8.758E-03 1.031E-01
45.00 9.289E-03 1.039E-01
50.00 9.792E-03 1.044E-01
55.00 1.027E-02 1.047E-01
60.00 1.073E-02 1.049E-01
65.00 1.116E-02 1.049E-01
70.00 1.159E-02 1.049E-01
80.00 1.239E-02 1.045E-01
90.00 1.314E-02 1.039E-01
100.00 1.385E-02 1.032E-01
110.00 1.452E-02 1.023E-01
120.00 1.517E-02 1.014E-01
130.00 1.579E-02 1.005E-01
140.00 1.638E-02 9.946E-02
150.00 1.696E-02 9.844E-02
160.00 1.752E-02 9.742E-02
170.00 1.805E-02 9.639E-02
180.00 1.860E-02 9.537E-02
200.00 2.149E-02 9.335E-02
225.00 2.392E-02 9.091E-02
250.00 2.561E-02 8.856E-02
275.00 2.687E-02 8.633E-02
300.00 2.787E-02 8.420E-02
325.00 2.873E-02 8.218E-02
350.00 2.952E-02 8.026E-02
375.00 3.028E-02 7.844E-02
400.00 3.103E-02 7.671E-02
450.00 3.254E-02 7.349E-02
500.00 3.409E-02 7.057E-02
550.00 3.566E-02 6.791E-02
600.00 3.723E-02 6.548E-02
650.00 3.879E-02 6.324E-02
700.00 4.032E-02 6.117E-02
800.00 4.330E-02 5.748E-02
900.00 4.618E-02 5.428E-02
1000.00 4.895E-02 5.147E-02
1100 5.166E-02 4.90E-02
1200 5.429E-02 4.68E-02
1300 5.687E-02 4.48E-02
1400 5.939E-02 4.30E-02
1500 6.186E-02 4.13E-02
1600 6.427E-02 3.98E-02
1700 6.662E-02 3.84E-02
1800 6.893E-02 3.72E-02
2000 7.340E-02 3.49E-02
2250 7.879E-02 3.25E-02
2500 8.409E-02 3.04E-02
2750 8.944E-02 2.86E-02
3000 9.493E-02 2.70E-02
3250 1.006E-01 2.57E-02
3500 1.066E-01 2.44E-02
3750 1.128E-01 2.33E-02
4000 1.192E-01 2.23E-02
4500 1.326E-01 2.06E-02
5000 1.466E-01 1.92E-02
5500 1.609E-01 1.79E-02
6000 1.754E-01 1.69E-02
6500 1.899E-01 1.59E-02
7000 2.042E-01 1.51E-02
8000 2.322E-01 1.37E-02
9000 2.586E-01 1.26E-02
10000 2.834E-01 1.16E-02
11000 3.064E-01 1.08E-02
12000 3.276E-01 1.01E-02
13000 3.471E-01 9.54E-03
14000 3.651E-01 9.01E-03
15000 3.817E-01 8.55E-03
16000 3.970E-01 8.13E-03
17000 4.112E-01 7.76E-03
18000 4.244E-01 7.43E-03
20000 4.483E-01 6.84E-03
22500 4.744E-01 6.24E-03
25000 4.974E-01 5.738E-03
27500 5.179E-01 5.320E-03
30000 5.367E-01 4.963E-03
32500 5.540E-01 4.655E-03
35000 5.701E-01 4.386E-03
37500 5.853E-01 4.148E-03
40000 5.995E-01 3.937E-03
45000 6.259E-01 3.578E-03
50000 6.496E-01 3.283E-03
55000 6.712E-01 3.036E-03
60000 6.908E-01 2.827E-03
65000 7.085E-01 2.646E-03
70000 7.245E-01 2.489E-03
80000 7.521E-01 2.227E-03
90000 7.744E-01 2.019E-03
100000 7.922E-01 1.848E-03
110000 8.062E-01 1.706E-03
120000 8.170E-01 1.586E-03
130000 8.250E-01 1.482E-03
140000 8.307E-01 1.392E-03
150000 8.346E-01 1.313E-03
160000 8.367E-01 1.243E-03
170000 8.376E-01 1.180E-03
180000 8.373E-01 1.124E-03
200000 8.411E-01 1.027E-03
225000 8.315E-01 9.288E-04
250000 8.228E-01 8.484E-04
275000 8.122E-01 7.816E-04
300000 8.006E-01 7.251E-04
325000 7.882E-01 6.766E-04
350000 7.756E-01 6.346E-04
375000 7.628E-01 5.977E-04
400000 7.501E-01 5.651E-04
450000 7.251E-01 5.101E-04
